0	1
brain	1148
new	278
american	206
research	191
cells	190
memory	173
scienti	171
disease	161
also	137
digital	131
may	127
could	127
neurons	123
even	112
one	112
alzheimer	109
brains	108
future	102
stem	101
mind	98
see	96
people	93
cell	93
many	92
activity	92
drugs	90
brave	89
mental	83
technology	83
body	83
neural	81
information	76
memories	75
scientists	72
human	69
researchers	69
gene	68
much	67
university	67
stimulation	66
electrical	64
therapy	64
time	64
studies	64
work	62
scans	62
way	62
called	62
genes	60
help	60
study	60
http	58
use	57
treatment	55
meditation	55
science	55
computer	55
able	55
electrodes	55
know	54
bionic	54
learning	54
better	53
parts	52
years	52
used	52
make	51
changes	51
today	51
well	51
internet	50
might	50
adhd	50
hippocampus	49
would	49
like	48
ere	48
long	47
found	47
world	45
control	45
ects	44
cial	44
health	44
change	44
blood	44
system	43
need	43
still	43
fact	42
say	42
show	42
social	42
neuron	42
two	41
next	40
areas	40
area	40
ways	39
depression	39
function	39
cortex	39
looking	38
matter	38
life	38
including	37
national	37
ect	37
making	36
rst	36
take	36
without	35
inside	35
related	35
imaging	35
dna	35
others	35
small	35
white	34
implants	34
example	34
every	34
surgery	34
another	34
treatments	34
boost	33
good	33
possible	33
past	33
movement	33
mri	32
neuroscience	32
humans	32
thoughts	32
proteins	32
disorders	32
erent	32
million	32
institute	32
animal	32
among	31
around	31
play	31
issues	31
children	31
thought	31
term	31
process	31
using	31
disorder	31
data	30
made	30
yet	30
involved	30
part	29
based	29
old	29
right	29
cognitive	29
signals	29
fmri	29
dementia	28
patients	28
working	28
spinal	28
networks	28
thinking	28
stroke	28
drug	28
says	28
law	28
boosting	27
natives	27
already	27
fear	27
ective	27
physical	27
medical	27
magnetic	27
medicine	26
current	26
book	26
cord	26
person	26
become	26
dopamine	26
form	25
anxiety	25
emotions	25
illness	25
damage	25
deep	25
attention	25
far	25
implanted	25
images	25
dbs	25
center	24
potential	24
within	24
pain	24
training	24
power	24
action	24
ction	24
similar	24
turn	24
keep	24
functions	24
makes	24
less	24
july	24
adapted	24
changing	23
near	23
percent	23
parkinson	23
diseases	23
machine	23
three	23
biological	23
computers	23
year	23
ing	23
although	23
especially	22
hard	22
nding	22
day	22
certain	22
learn	22
predict	22
healthy	22
perhaps	22
major	22
sometimes	22
tomorrow	22
seems	22
least	22
connections	22
genetic	22
something	22
mice	22
high	22
man	22
chapter	21
epigenetics	21
bad	21
uses	21
head	21
promise	21
fields	21
ethical	21
decades	21
protein	21
important	21
think	21
needed	21
known	21
chemical	21
addiction	21
therapies	21
neurotransmitter	21
video	21
read	20
programs	20
self	20
neuroimaging	20
damaged	20
vision	20
amygdala	20
risk	20
emotion	20
several	20
works	19
spot	19
neuroethics	19
neuroscientists	19
want	19
actions	19
age	19
repair	19
focus	19
taking	19
love	19
since	19
move	19
project	19
six	18
short	18
sensory	18
half	18
legal	18
recent	18
aging	18
best	18
shows	18
connected	18
along	18
response	18
direct	18
active	18
cancer	18
development	18
face	18
treat	18
growth	18
times	18
free	18
journal	18
shown	18
nerve	18
network	18
means	17
web	17
directly	17
neurogenesis	17
arti	17
nanotechnology	17
adults	17
give	17
billion	17
severe	17
molecules	17
emotional	17
nucleus	17
end	17
expression	17
improve	17
get	17
said	17
tell	17
living	17
york	17
electroshock	17
stored	16
scanning	16
understanding	16
author	16
books	16
available	16
born	16
electric	16
machines	16
blind	16
come	16
second	16
special	16
advances	16
knowledge	16
ever	16
cases	16
robots	16
days	16
create	16
tiny	16
synapses	16
environment	16
eld	16
kind	16
tion	16
back	16
injury	16
stress	16
exercise	16
electricity	16
scan	16
devices	15
ese	15
really	15
manipulating	15
sources	15
experts	15
friends	15
phone	15
behavior	15
thousands	15
experience	15
recently	15
visual	15
number	15
activities	15
practice	15
genome	15
happiness	15
rats	15
connection	15
given	15
enough	15
ritalin	15
california	15
however	15
series	15
phones	15
implant	15
lie	15
device	14
smart	14
nanomedicine	14
toward	14
indeed	14
tremendous	14
technologies	14
advanced	14
limb	14
allow	14
messages	14
sex	14
brief	14
performance	14
focused	14
real	14
animals	14
hundred	14
games	14
level	14
place	14
stimulating	14
school	14
send	14
levels	14
cerebral	14
normal	14
nervous	14
light	14
synapse	14
reality	14
functional	14
image	14
technique	14
description	14
states	13
site	13
appears	13
neuroplasticity	13
marijuana	13
erasing	13
ibrain	13
privacy	13
always	13
put	13
true	13
century	13
group	13
conditions	13
sciences	13
record	13
chips	13
symptoms	13
report	13
ering	13
survival	13
speech	13
treated	13
sections	13
ability	13
news	13
studying	13
impact	13
showed	13
understand	13
complex	13
structure	13
newborn	13
amount	13
longer	13
ten	13
increase	13
four	13
regions	13
code	13
state	13
interest	13
tasks	13
problem	13
early	13
gray	13
associated	13
millions	13
region	13
lost	13
doubt	13
organ	13
electrode	13
access	13
develop	13
distant	13
